Local Date,Local Time,Close,Net,%Chg,Open,Low,High
20-Jul-2023,11:30,"7,988.47",+5.60,+0.07%,"7,983.44","7,983.44","7,993.73"
20-Jul-2023,11:25,"7,982.87",-7.26,-0.09%,"7,991.49","7,982.18","7,993.86"
20-Jul-2023,11:20,"7,990.13",-2.71,-0.03%,"7,994.02","7,986.47","7,994.46"
20-Jul-2023,11:15,"7,992.84",-2.31,-0.03%,"7,991.48","7,990.84","7,998.81"
20-Jul-2023,11:10,"7,995.15",+1.58,+0.02%,"7,996.49","7,991.35","8,000.28"
20-Jul-2023,11:05,"7,993.57",+13.09,+0.16%,"7,978.55","7,976.13","7,993.57"
20-Jul-2023,11:00,"7,980.48",+2.00,+0.03%,"7,978.40","7,973.45","7,984.41"
20-Jul-2023,10:55,"7,978.48",-2.15,-0.03%,"7,977.41","7,970.37","7,981.94"
20-Jul-2023,10:50,"7,980.63",+7.11,+0.09%,"7,976.94","7,973.06","7,981.20"
20-Jul-2023,10:45,"7,973.52",+14.90,+0.19%,"7,956.04","7,956.04","7,974.89"
20-Jul-2023,10:40,"7,958.62",-5.82,-0.07%,"7,965.76","7,956.98","7,968.96"
20-Jul-2023,10:35,"7,964.44",-19.79,-0.25%,"7,987.15","7,964.44","7,987.15"
20-Jul-2023,10:30,"7,984.23",-16.32,-0.20%,"7,999.00","7,982.40","8,001.01"
20-Jul-2023,10:25,"8,000.55",-16.55,-0.21%,"8,015.32","8,000.55","8,018.65"
20-Jul-2023,10:20,"8,017.10",-14.44,-0.18%,"8,030.34","8,017.10","8,033.64"
20-Jul-2023,10:15,"8,031.54",-3.38,-0.04%,"8,032.42","8,023.19","8,040.32"
20-Jul-2023,10:10,"8,034.92",-8.42,-0.10%,"8,041.03","8,028.27","8,041.03"
20-Jul-2023,10:05,"8,043.34",-21.61,-0.27%,"8,066.21","8,043.34","8,066.21"
20-Jul-2023,10:00,"8,064.95",-1.16,-0.01%,"8,068.07","8,064.95","8,072.91"
20-Jul-2023,09:55,"8,066.11",-17.45,-0.22%,"8,080.68","8,066.11","8,082.13"
20-Jul-2023,09:50,"8,083.56",-1.76,-0.02%,"8,085.83","8,074.55","8,085.83"
20-Jul-2023,09:45,"8,085.32",+9.62,+0.12%,"8,069.79","8,068.77","8,085.32"
20-Jul-2023,09:40,"8,075.70",+4.93,+0.06%,"8,065.26","8,057.32","8,075.70"
20-Jul-2023,09:35,"8,070.77",-7.11,-0.09%,"8,077.88","8,039.73","8,077.88"
19-Jul-2023,16:15,"8,077.88",+0.06,+0.00%,"8,077.82","8,077.82","8,077.88"
19-Jul-2023,16:05,"8,077.82",-2.23,-0.03%,"8,080.78","8,077.80","8,080.78"
